year,sending_country_iso,receiving_country_iso,participants
2014,UK,ES,2189
2014,UK,FI,137
2014,UK,FR,3204
2014,UK,GE,1
2014,UK,HR,12
2014,UK,HU,63
2014,UK,IE,215
2014,UK,IS,14
2014,UK,IT,594
2014,UK,JO,1
2014,UK,LI,1
2014,UK,LT,7
2014,UK,LU,9
2014,UK,LV,10
2014,UK,MT,43
2014,UK,NL,582
2014,UK,NO,100
2014,UK,PL,44
2014,UK,PT,66
2014,UK,RO,15
2014,UK,RU,1
2014,UK,SE,283
2014,UK,SI,13
2014,UK,SK,5
2014,UK,TR,57
2014,XK,FI,1
2015,AL,AT,1
2015,AL,BE,1
2015,AL,ES,1
2015,AL,MK,2
2015,AL,NL,2
2015,AL,PL,2
2015,AL,UK,3
2015,AM,AT,1
2015,AM,BG,4
2015,AM,CZ,5
2015,AM,DE,7
2015,AM,EE,2
2015,AM,ES,7
2015,AM,FR,2
2015,AM,HU,1
2015,AM,IT,11
2015,AM,LT,10
2015,AM,LU,1
2015,AM,LV,4
2015,AM,NO,1
2015,AM,PL,10
2015,AM,PT,9
2015,AM,SE,1
2015,AM,SK,1
2015,AM,TR,3
2015,AM,UK,3
2015,AR,FR,3
2015,AR,UK,2
2015,AT,AU,2
2015,AT,BA,1
2015,AT,BE,184
2015,AT,BG,9
2015,AT,CA,2
2015,AT,CL,1
2015,AT,CY,11
2015,AT,CZ,110
2015,AT,DE,1050
2015,AT,DK,203
2015,AT,EE,45
2015,AT,EL,38
2015,AT,ES,866
2015,AT,FI,368
2015,AT,FR,562
2015,AT,HR,53
2015,AT,HU,48
2015,AT,IE,191
2015,AT,IS,32
2015,AT,IT,421
2015,AT,KR,2
2015,AT,LI,9
2015,AT,LT,34
2015,AT,LU,4
2015,AT,LV,20
2015,AT,MK,2
2015,AT,MT,23
2015,AT,NL,402
2015,AT,NO,210
2015,AT,PL,77
2015,AT,PT,190
2015,AT,RO,22
2015,AT,RS,1
2015,AT,RU,8
2015,AT,SE,450
2015,AT,SI,44
2015,AT,SK,29
2015,AT,TR,151
2015,AT,UK,545
2015,AU,DE,5
2015,AU,IE,2
2015,AU,TR,1
2015,AZ,DE,1
2015,AZ,FR,1
